1560	80.59	100.00	1560	85.26	87.05	1560	82.59	82.12
1570	80.68	100.00	1570	85.41	86.05	1570	82.62	82.10
1580	80.65	100.00	1580	85.35	85.82	1580	82.74	81.90
1590	80.65	100.00	1590	85.35	85.85	1590	82.71	82.01
1600	80.65	100.00	1600	85.35	85.81	1600	82.74	81.94
1610	80.71	100.00	1610	85.50	85.71	1610	82.71	81.99
1620	80.74	100.00	1620	85.50	85.68	1620	82.65	82.04
1630	80.82	100.00	1630	85.50	85.77	1630	82.71	81.96
1640	80.79	100.00	1640	85.50	85.67	1640	82.76	81.95
1650	80.82	100.00	1650	85.50	85.70	1650	82.71	82.00
1660	80.82	100.00	1660	85.50	85.66	1660	82.65	82.05
1670	80.79	100.00	1670	85.50	85.57	1670	82.74	81.92
1680	80.76	100.00	1680	85.50	85.54	1680	82.76	81.79
1690	81.12	100.00	1690	85.50	85.50	1690	82.74	81.78
1700	81.15	100.00	1700	85.50	85.53	1700	82.71	81.82
1710	81.15	100.00	1710	85.18	87.13	1710	82.94	81.93
1720	81.24	100.00	1720	84.88	87.44	1720	82.76	81.92
1730	81.32	100.00	1730	84.88	87.51	1730	82.82	81.91
1740	81.24	100.00	1740	84.88	87.59	1740	82.91	82.01
1750	81.09	100.00	1750	84.79	85.66	1750	82.74	81.83
1760	81.06	100.00	1760	85.09	85.28	1760	82.79	81.76
1770	81.09	100.00	1770	84.47	87.01	1770	82.79	81.81
1780	81.12	100.00	1780	84.47	87.08	1780	82.94	82.08
1790	81.29	100.00	1790	84.79	85.75	1790	82.85	82.07
1800	81.41	100.00	1800	84.79	85.78	1800	82.94	82.11
1810	81.47	100.00	1810	85.09	85.41	1810	82.97	82.27
1820	81.47	100.00	1820	85.09	85.38	1820	82.88	82.09
1830	81.50	100.00	1830	85.09	85.41	1830	83.12	82.51
1840	81.53	100.00	1840	85.06	86.68	1840	83.06	82.34
1850	81.59	100.00	1850	85.06	86.70	1850	83.88	83.03
1860	81.74	100.00	1860	85.06	86.77	1860	83.85	83.12
1870	81.41	100.00	1870	84.44	85.83	1870	83.76	83.16
1880	81.38	100.00	1880	84.76	86.76	1880	83.85	82.98
1890	81.38	100.00	1890	84.44	85.87	1890	83.94	83.39
1900	81.50	100.00	1900	84.44	85.79	1900	84.12	83.68
1910	81.50	100.00	1910	84.44	85.81	1910	84.21	83.66
1920	81.59	100.00	1920	84.44	85.73	1920	83.94	84.11
1930	81.53	100.00	1930	84.76	85.75	1930	84.24	83.68
1940	81.56	100.00	1940	84.76	85.82	1940	84.21	83.51
1950	81.56	100.00	1950	84.76	85.90	1950	83.82	82.77
1960	81.68	100.00	1960	84.76	85.92	1960	83.82	82.76
1970	81.76	100.00	1970	84.88	86.85	1970	83.97	82.94
1980	81.74	100.00	1980	84.76	85.91	1980	83.82	82.68
