bits	Invocations	NumFitness	AltNumFitness	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
60	50	196400	196400	65.466667	65.466667	60	60	60	0	0.04	60	50	1	3928	3928	0	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
60	51	314400	310400	102.778686	101.471069	59	60	60	0.1	0.02	60	50	0.9804	6288	6208	0	Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
60	50	333200	333200	111.066667	111.066667	60	60	60	0	0.04	60	50	1	6664	6664	0	Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
60	50	529600	529600	176.533333	176.533333	60	60	60	0	0.04	60	50	1	10592	10592	0	Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
60	50	277983	277983	92.661	92.661	60	60	60	0	0.2	60	50	1	5560	5560	0.2	Mimicker(size=200,keep=2)
60	51	538881	518781	176.162471	169.591697	59	60	60	0.1	0.45	60	50	0.9804	10778	10376	0.5	Mimicker(size=200,keep=4)
60	53	720786	660486	226.876298	207.896128	59	59.9	60	0.2	0.58	60	50	0.9434	14416	13210	0.6	Mimicker(size=200,keep=6)
60	50	322003	322003	107.334333	107.334333	60	60	60	0	0.2	60	50	1	6440	6440	0.2	Mimicker(size=400,keep=2)
60	50	496839	496839	165.613	165.613	60	60	60	0	0.36	60	50	1	9937	9937	0.4	Mimicker(size=400,keep=4)
60	51	688517	648417	225.079111	211.970252	59	60	60	0.1	0.39	60	50	0.9804	13770	12968	0.4	Mimicker(size=400,keep=6)
60	50	339690	339690	113.23	113.23	60	60	60	0	0.06	60	50	1	6794	6794	0.1	Mimicker(size=200,keep=1)
70	50	11173	11173	3.192286	3.192286	70	70	70	0	0	70	50	1	223	223	0	HillClimber(neighbor=SingleBitFlipper)
70	50	11637	11637	3.324857	3.324857	70	70	70	0	0	70	50	1	233	233	0	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
70	50	11761	11761	3.360286	3.360286	70	70	70	0	0	70	50	1	235	235	0	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
70	50	11634	11634	3.324	3.324	70	70	70	0	0	70	50	1	233	233	0	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
70	50	11113	11113	3.175143	3.175143	70	70	70	0	0	70	50	1	222	222	0	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
70	50	11876	11876	3.393143	3.393143	70	70	70	0	0	70	50	1	238	238	0	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
70	50	11919	11919	3.405429	3.405429	70	70	70	0	0	70	50	1	238	238	0	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
70	50	12472	12472	3.563429	3.563429	70	70	70	0	0	70	50	1	249	249	0	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
70	50	12878	12878	3.679429	3.679429	70	70	70	0	0	70	50	1	258	258	0	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
70	50	14326	14326	4.093143	4.093143	70	70	70	0	0	70	50	1	287	287	0	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
70	50	66439	66439	18.982571	18.982571	70	70	70	0	0	70	50	1	1329	1329	0	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
70	50	113400	113400	32.4	32.4	70	70	70	0	0.02	70	50	1	2268	2268	0	Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
70	60	280000	270000	66.937605	64.546976	67	69.7	70	0.7	0.02	70	50	0.8333	5600	5400	0	Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
70	50	114200	114200	32.628571	32.628571	70	70	70	0	0.02	70	50	1	2284	2284	0	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
70	57	283000	269000	71.051971	67.537032	69	69.9	70	0.3	0.04	70	50	0.8772	5660	5380	0	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
70	54	415800	407800	110.116525	107.997881	69	69.9	70	0.3	0.04	70	50	0.9259	8316	8156	0	Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
70	50	199400	199400	56.971429	56.971429	70	70	70	0	0.02	70	50	1	3988	3988	0	Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
70	50	218000	218000	62.285714	62.285714	70	70	70	0	0.04	70	50	1	4360	4360	0	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
70	50	362800	362800	103.657143	103.657143	70	70	70	0	0.04	70	50	1	7256	7256	0	Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
70	50	370400	370400	105.828571	105.828571	70	70	70	0	0.04	70	50	1	7408	7408	0	Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
70	52	654800	646800	179.989005	177.789995	69	70	70	0.2	0.06	70	50	0.9615	13096	12936	0.1	Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
70	51	437376	417276	122.548613	116.916783	69	70	70	0.1	0.43	70	50	0.9804	8748	8346	0.4	Mimicker(size=200,keep=2)
70	51	526821	506721	147.610255	141.978425	69	70	70	0.1	0.41	70	50	0.9804	10536	10134	0.4	Mimicker(size=200,keep=4)
70	52	688425	648225	189.231721	178.181693	69	70	70	0.2	0.63	70	50	0.9615	13769	12965	0.7	Mimicker(size=200,keep=6)
70	50	392178	392178	112.050857	112.050857	70	70	70	0	0.34	70	50	1	7844	7844	0.3	Mimicker(size=400,keep=2)
70	50	536939	536939	153.411143	153.411143	70	70	70	0	0.4	70	50	1	10739	10739	0.4	Mimicker(size=400,keep=4)
70	51	919894	879794	257.745587	246.509947	69	70	70	0.1	0.78	70	50	0.9804	18398	17596	0.8	Mimicker(size=400,keep=6)
70	53	549132	488832	148.133801	131.867278	69	69.9	70	0.2	0.11	70	50	0.9434	10983	9777	0.1	Mimicker(size=200,keep=1)
80	50	13510	13510	3.3775	3.3775	80	80	80	0	0	80	50	1	270	270	0	HillClimber(neighbor=SingleBitFlipper)
80	50	13664	13664	3.416	3.416	80	80	80	0	0	80	50	1	273	273	0	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
80	50	12955	12955	3.23875	3.23875	80	80	80	0	0	80	50	1	259	259	0	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
80	50	13477	13477	3.36925	3.36925	80	80	80	0	0	80	50	1	270	270	0	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
80	50	13889	13889	3.47225	3.47225	80	80	80	0	0	80	50	1	278	278	0	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
80	50	14426	14426	3.6065	3.6065	80	80	80	0	0	80	50	1	289	289	0	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
80	50	13898	13898	3.4745	3.4745	80	80	80	0	0	80	50	1	278	278	0	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
80	50	14460	14460	3.615	3.615	80	80	80	0	0	80	50	1	289	289	0	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
80	50	15284	15284	3.821	3.821	80	80	80	0	0	80	50	1	306	306	0	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
80	50	16398	16398	4.0995	4.0995	80	80	80	0	0	80	50	1	328	328	0	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
80	50	68723	68723	17.18075	17.18075	80	80	80	0	0	80	50	1	1374	1374	0	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
