length	t	Invocations	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
40	4	147	9.326160	8.832616	0.0	58.5	75.0	26.4	0.00	75.0	100	0.6803	802	759	0.0		Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
40	4	135	9.043821	8.683343	2.0	62.0	75.0	24.1	0.00	75.0	100	0.7407	757	727	0.0		Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
40	4	142	9.048854	8.535110	1.0	58.7	75.0	27.0	0.00	75.0	100	0.7042	754	711	0.0		Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
40	4	145	9.434007	8.953444	1.0	58.4	75.0	26.9	0.00	75.0	100	0.6897	798	758	0.0		Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
40	4	159	9.773873	9.120231	1.0	54.4	75.0	29.0	0.00	75.0	100	0.6289	845	789	0.0		Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
40	4	133	10.741920	9.118762	0.0	60.7	75.0	26.2	0.00	75.0	100	0.7519	867	736	0.0		Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
40	4	145	25.487170	18.059557	3.0	58.6	75.0	26.5	0.00	75.0	100	0.6897	2165	1534	0.0		Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
40	4	100	87.960000	87.960000	75.0	75.0	75.0	0.0	0.00	75.0	100	1.0000	6597	6597	0.0		Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
40	4	100	226.440000	226.440000	75.0	75.0	75.0	0.0	0.01	75.0	100	1.0000	16983	16983	0.0		Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
40	4	100	84.160000	84.160000	75.0	75.0	75.0	0.0	0.00	75.0	100	1.0000	6312	6312	0.0		Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
40	4	100	206.613333	206.613333	75.0	75.0	75.0	0.0	0.01	75.0	100	1.0000	15496	15496	0.0		Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
40	4	100	339.920000	339.920000	75.0	75.0	75.0	0.0	0.01	75.0	100	1.0000	25494	25494	0.0		Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
40	4	100	117.653333	117.653333	75.0	75.0	75.0	0.0	0.00	75.0	100	1.0000	8824	8824	0.0		Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
40	4	100	113.226667	113.226667	75.0	75.0	75.0	0.0	0.01	75.0	100	1.0000	8492	8492	0.0		Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
40	4	100	286.346667	286.346667	75.0	75.0	75.0	0.0	0.01	75.0	100	1.0000	21476	21476	0.0		Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
40	4	100	208.906667	208.906667	75.0	75.0	75.0	0.0	0.01	75.0	100	1.0000	15668	15668	0.0		Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
40	4	100	507.893333	507.893333	75.0	75.0	75.0	0.0	0.02	75.0	100	1.0000	38092	38092	0.0		Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
40	4	117	200.938142	179.947922	40.0	69.9	75.0	12.4	0.09	75.0	100	0.8547	16437	14720	0.1		Mimicker(size=100,keep=2)
40	4	123	377.673204	351.185177	39.0	71.3	75.0	9.8	0.22	75.0	100	0.8130	33122	30799	0.3		Mimicker(size=100,keep=3)
40	4	142	444.279275	401.309259	27.0	69.5	75.0	11.2	0.20	75.0	100	0.7042	43859	39617	0.3		Mimicker(size=100,keep=4)
40	4	113	318.891262	302.776878	36.0	72.1	75.0	9.3	0.13	75.0	100	0.8850	25983	24670	0.2		Mimicker(size=100,keep=5)
40	4	115	168.442963	131.220741	40.0	70.4	75.0	11.8	0.06	75.0	100	0.8696	13644	10629	0.1		Mimicker(size=200,keep=2)
40	4	106	297.422868	281.841473	40.0	73.0	75.0	8.1	0.13	75.0	100	0.9434	23021	21815	0.1		Mimicker(size=200,keep=3)
40	4	110	579.549170	554.654446	39.0	73.4	75.0	6.8	0.21	75.0	100	0.9091	46793	44783	0.2		Mimicker(size=200,keep=4)
40	4	109	511.784441	489.231143	40.0	73.6	75.0	6.6	0.17	75.0	100	0.9174	41050	39241	0.2		Mimicker(size=200,keep=5)
40	4	113	166.163342	133.582294	40.0	71.0	75.0	11.2	0.06	75.0	100	0.8850	13326	10713	0.1		Mimicker(size=200,keep=2)
40	4	108	301.936957	281.374297	40.0	72.4	75.0	9.2	0.10	75.0	100	0.9259	23611	22003	0.1		Mimicker(size=200,keep=3)
40	4	121	607.742203	559.163540	40.0	71.8	75.0	9.3	0.21	75.0	100	0.8264	52807	48586	0.3		Mimicker(size=200,keep=4)
40	4	115	543.989506	508.036728	40.0	72.9	75.0	7.9	0.21	75.0	100	0.8696	45619	42604	0.2		Mimicker(size=200,keep=5)
40	4	115	632.673827	596.691013	23.0	72.9	75.0	8.2	0.22	75.0	100	0.8696	53012	49997	0.3		Mimicker(size=200,keep=10)
50	5	2057	12.613203	11.700848	50.0	52.1	94.0	9.5	0.00	94.0	100	0.0486	13528	12549	0.0		HillClimber(neighbor=SingleBitFlipper)
50	5	288	11.288747	10.126496	0.0	50.2	94.0	36.7	0.00	94.0	100	0.3472	1632	1464	0.0		Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
50	5	228	11.565591	10.461894	1.0	54.1	94.0	38.9	0.00	94.0	100	0.4386	1427	1290	0.0		Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
50	5	237	11.869957	10.518559	0.0	49.7	94.0	40.9	0.00	94.0	100	0.4219	1397	1238	0.0		Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
50	5	220	11.759359	10.561895	0.0	53.1	94.0	40.5	0.00	94.0	100	0.4545	1373	1233	0.0		Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
50	5	247	12.369005	11.048514	0.0	51.1	94.0	39.5	0.00	94.0	100	0.4049	1560	1394	0.0		Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
50	5	238	12.127486	10.798290	1.0	51.1	94.0	39.8	0.00	94.0	100	0.4202	1475	1314	0.0		Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
