105	83.91	86.79	105	92.25	100.00
106	84.53	87.14	106	92.25	100.00
107	84.50	86.77	107	92.25	100.00
108	83.71	85.97	108	92.25	100.00
109	84.91	87.50	109	92.25	100.00
110	84.71	87.24	110	92.25	100.00
111	84.74	87.45	111	92.25	100.00
112	84.32	87.14	112	92.25	100.00
113	82.32	84.21	113	92.25	100.00
114	81.38	83.98	114	92.25	100.00
115	84.15	86.61	115	92.25	100.00
116	84.53	87.06	116	92.25	100.00
117	84.18	86.74	117	92.25	100.00
118	83.79	85.71	118	92.25	100.00
119	84.00	86.47	119	92.25	100.00
120	84.09	86.68	120	92.25	100.00
121	83.94	86.45	121	92.25	100.00
122	83.50	86.18	122	92.25	100.00
123	83.94	86.73	123	92.25	100.00
124	83.00	85.39	124	92.25	100.00
125	83.91	86.70	125	92.25	100.00
126	84.00	87.23	126	92.25	100.00
127	83.09	86.02	127	92.25	100.00
128	83.44	86.38	128	92.25	100.00
129	83.74	86.85	129	92.25	100.00
130	83.15	86.41	130	92.25	100.00
131	84.47	87.73	131	92.25	100.00
132	84.24	87.68	132	92.25	100.00
133	83.68	87.29	133	92.25	100.00
134	83.47	86.92	134	92.25	100.00
135	83.59	86.64	135	92.25	100.00
136	84.53	87.85	136	92.25	100.00
137	83.50	87.41	137	92.25	100.00
138	84.56	87.76	138	92.25	100.00
139	83.94	87.36	139	92.25	100.00
140	83.74	87.06	140	92.25	100.00
